Name,Publisher,Version,Licenses,Provenance
world-editor,V-Sekai,latest.v-sekai-editor-164,"CC0-1.0, Apache-2.0, MIT, BSD-3-Clause, Unknown, BSL-1.0, Unknown, Libpng, MPL-2.0, Unknown, Unknown, Unknown, Unknown, Unknown, Zlib, BSD-2-Clause, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown",Unknown
world-godot,V-Sekai,latest.v-sekai-editor-7,"CC0-1.0, Apache-2.0, MIT, BSD-3-Clause, Unknown, BSL-1.0, Unknown, Libpng, MPL-2.0, Unknown, Unknown, Unknown, Unknown, Zlib, Unknown, BSD-2-Clause, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown",Unknown
arcdot,BurntAussieTyre,4.3-stable-old,"CC0-1.0, Unknown, Apache-2.0, MIT, BSD-3-Clause, BSL-1.0, Libpng, Unknown, Unknown, Unknown, Unknown, Unknown, Zlib, BSD-2-Clause, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown",Unknown
godot,godotengine,94255356,"Unknown, CC0-1.0, Unknown, Unknown, ISC, Apache-2.0, MIT, BSD-3-Clause, BSL-1.0, Unknown, Libpng, Unknown, Unknown, Unknown, Unknown, Zlib, Unknown, BSD-2-Clause, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown",Unknown
pre-commit,Anthony Sottile,2.0.0,MIT,Unknown
godot-for-3d-open-worlds,roalyr,4.x-2024.02.22,"Unknown, CC0-1.0, Unknown, ISC, Apache-2.0, MIT, BSD-3-Clause, BSL-1.0, Unknown, Libpng, Unknown, Unknown, Unknown, Unknown, Zlib, BSD-2-Clause, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown",Unknown
godot,V-Sekai,groups-4.x.2022-09-20T190218Z,MIT,Unknown
bc-java,bcgit,1rv58,MIT,Unknown
godot-engine,trial-migrate1,3.4-stable,"MIT, Bitstream-Vera, FTL, MPL-2.0, Unknown, CC0-1.0, OFL-1.1, CC-BY-4.0, Unlicense, Unknown, Apache-2.0, Zlib, BSD-3-Clause, BSD-2-Clause, BSL-1.0",Unknown
godot,godotengine,3.0-stable,"Unknown, CC0-1.0, Unknown, ISC, Apache-2.0, MIT, BSD-3-Clause, BSL-1.0, Unknown, Libpng, Unknown, Unknown, Unknown, Zlib, Unknown, BSD-2-Clause, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown",Unknown
godot,dmtrofimov,3.2.3-stable,"MIT, Unknown, Unknown, OpenSSL, Libpng, CC0-1.0, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, ISC, Apache-2.0, Zlib, BSD-3-Clause, Unknown, Unknown",Unknown
genepattern-server,genepattern,GenePattern_1.3.1,"Unknown, LGPL-2.1-only, Unknown, Unknown, Apache-2.0, BSD-2-Clause, Unknown",Unknown
letters,ccgus,ad35821,None,Unknown
godot-builds,godotengine,4.2-dev5,MIT,Unknown
world_editor,V-Sekai,latest.v-sekai-editor,"CC0-1.0, Apache-2.0, MIT, BSD-3-Clause, Unknown, BSL-1.0, Unknown, Libpng, MPL-2.0, Unknown, Unknown, Unknown, Zlib, Unknown, BSD-2-Clause, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown",Unknown
bradot,bradotengine,4.4-beta1,MIT,Unknown
folium,xdccrlz,3b273e1,GPL-3.0-only,Unknown
redot-engine,Redot-Engine,redot-4.3-rc.1,MIT,Unknown
godot-nir-static,bruvzg,23.1.0-devel,MIT,Unknown
godot-dotnet,raulsntos,c067b3f,MIT,Unknown
tekisasu,TekisasuEngine,4.3-rc1,"Libpng, Unknown, Unknown, Zlib, CC0-1.0, Unknown, Unknown, Unknown, Unknown, BSD-3-Clause, Unknown, Apache-2.0, MIT, Unknown, Unknown, BSD-2-Clause, BSL-1.0, Unknown",Unknown
godot,MissingEStudios,0.1,"CC0-1.0, Apache-2.0, MIT, BSD-3-Clause, BSL-1.0, Libpng, Unknown, Unknown, Unknown, Unknown, Zlib, Unknown, BSD-2-Clause, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown",Unknown
Tekisasu-Engine,Tekisasu-JohnK,4.3p5,"Unknown, Libpng, BSD-2-Clause, Unknown, Zlib, CC0-1.0, Unknown, Unknown, Unknown, Unknown, BSD-3-Clause, Unknown, Apache-2.0, MIT, Unknown, Unknown, Unknown, BSL-1.0",Unknown
godot-fire,godot-extended-libraries,extended-fire-master.2021-03-05T173929Z,"Unknown, Libpng, Unknown, Zlib, CC0-1.0, Unknown, Unknown, Unknown, ISC, Apache-2.0, MIT, BSD-3-Clause, Unknown, Unknown, Unknown",Unknown
artillery-command,MyAngelShibuyaKanon,1.0,None,Unknown
ludum-dare-56,imberny,ld56-submission,"CC-BY-SA-4.0, MIT",Unknown
Microsoft.NETCore.App.Runtime.Mono.android-x64,nuget,8.0.2,MIT,Unknown
unrealtournament,jimmiekj,cac883d,Apache-2.0,Unknown
survey,odk-x,2.0_alpha_rev_100,Apache-2.0,Unknown
https-github.com-epicgames-unrealengine,superhellcat,4.14.0-preview-2,"CC-BY-NC-SA-3.0, Unknown, Apache-2.0, MIT, BSD-3-Clause, Unknown, Unknown, Libpng, Unknown, Unknown, Unknown, Zlib, BSD-2-Clause, Unknown, LGPL-2.0-only, Unknown, X11, Unknown, Unknown, GPL-2.0-only, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown",Unknown
play-licensing,google,eb57657,Apache-2.0,Unknown
offspring-calculator-mobile,mgvx,0.1,Apache-2.0,Unknown
platform_tools_apksig,CalyxOS,android-14.0.0_r1,Apache-2.0,Unknown
platform/tools/apksig,android,android-13.0.0_r1,Apache-2.0,Unknown
Android-GetAPKInfo,bihe0832,2.0,Apache-2.0,Unknown
apksig,com.android.tools.build,3.1.0,Apache-2.0,Unknown
